source-Company,target-Company
AAON Inc. Common Stock,AAON Inc.
Advance Auto Parts Inc.,Advance Auto Parts Inc.
Apple Inc. Common Stock,Apple Inc.
ABB Ltd Common Stock,ABB Ltd
AbbVie Inc. Common Stock,AbbVie Inc.
Ameris Bancorp Common Stock,Ameris Bancorp
ABIOMED Inc. Common Stock,ABIOMED Inc.
Arcosa Inc. Common Stock,Arcosa Inc.
Accolade Inc. Common Stock,Accolade Inc.
ProFrac Holding Corp. Warrant,ProFrac Holding Corp. Warrant
Accel Entertainment Inc.,Accel Entertainment Inc.
Adicet Bio Inc. Common Stock,Adicet Bio Inc.
AC Immune SA Common Stock,AC Immune SA
Arcellx Inc. Common Stock,Arcellx Inc.
AECOM Common Stock,AECOM
ACNB Corporation Common Stock,ACNB Corporation
Aclarion Inc. Common Stock,Aclarion Inc.
Aclarion Inc. Warrant,Aclarion Inc. Warrant
Adobe Inc. Common Stock,Adobe Inc.
Adeia Inc. Common Stock,Adeia Inc.
Adient plc Ordinary Shares,Adient plc Ordinary Shares
Edoc Acquisition Corp. Right,Edoc Acquisition Corp. Right
ADS-TEC ENERGY PLC Warrant,ADS-TEC ENERGY PLC Warrant
Autodesk Inc. Common Stock,Autodesk
ADT Inc. Common Stock,ADT Inc.
Aditxt Inc. Common Stock,Aditxt Inc.
AEGON N.V. Common Stock,AEGON N.V.
Alset Inc. Common Stock (TX),Alset Inc. (TX)
AudioEye Inc. Common Stock,AudioEye Inc.
AF Acquisition Corp. Units,AF Acquisition Corp. Units
AF Acquisition Corp. Warrants,AF Acquisition Corp. Warrants
AFC Gamma Inc. Common Stock,AFC Gamma Inc.
Affimed N.V.,Affimed N.V.
Forafric Global PLC Warrants,Forafric
AGCO Corporation Common Stock,AGCO Corporation
Agenus Inc. Common Stock,Agenus Inc.
Agile Growth Corp. Units,Agile Growth Corp. Units
Agile Growth Corp. Warrant.,Agile Growth Corp. Warrant.
Avangrid Inc. Common Stock,Avangrid Inc.
Adecoagro S.A. Common Shares,Adecoagro S.A. Common Shares
PlayAGS Inc. Common Stock,PlayAGS Inc.
Agiliti Inc. Common Stock,Agiliti Inc.
Argan Inc. Common Stock,Argan Inc.
Akso Health Group ADS,Akso Health Group ADS
Ainos Inc. Common Stock,Ainos Inc.
Ainos Inc. Warrants,Ainos Inc. Warrants
Arteris Inc. Common Stock,Arteris Inc.
AAR Corp. Common Stock,AAR Corp.
Airgain Inc. Common Stock,Airgain Inc.
Air T Inc. Common Stock,Air T Inc.
Meta Data Limited ADS,Meta Data Limited ADS
Assurant Inc. Common Stock,Assurant Inc.
Great Ajax Corp. Common Stock,Great Ajax Corp.
Akanda Corp. Common Shares,Akanda Corp. Common Shares
Akili Inc. Common Stock,Akili Inc.
