Company
AAON Inc. Common Stock
Advance Auto Parts Inc.
Apple Inc. Common Stock
ABB Ltd Common Stock
AbbVie Inc. Common Stock
Ameris Bancorp Common Stock
ABIOMED Inc. Common Stock
Arcosa Inc. Common Stock 
Accolade Inc. Common Stock
ProFrac Holding Corp. Warrant
Accel Entertainment Inc. 
Adicet Bio Inc. Common Stock 
AC Immune SA Common Stock
Arcellx Inc. Common Stock
AECOM Common Stock
ACNB Corporation Common Stock
Aclarion Inc. Common Stock
Aclarion Inc. Warrant
Adobe Inc. Common Stock
Adeia Inc. Common Stock
Adient plc Ordinary Shares 
Edoc Acquisition Corp. Right
ADS-TEC ENERGY PLC Warrant
Autodesk Inc. Common Stock
ADT Inc. Common Stock
Aditxt Inc. Common Stock
AEGON N.V. Common Stock
Alset Inc. Common Stock (TX)
AudioEye Inc. Common Stock
AF Acquisition Corp. Units
AF Acquisition Corp. Warrants
AFC Gamma Inc. Common Stock
Affimed N.V.
Forafric Global PLC Warrants
AGCO Corporation Common Stock
Agenus Inc. Common Stock
Agile Growth Corp. Units
Agile Growth Corp. Warrant.
Avangrid Inc. Common Stock
Adecoagro S.A. Common Shares
PlayAGS Inc. Common Stock
Agiliti Inc. Common Stock
Argan Inc. Common Stock
Akso Health Group ADS
Ainos Inc. Common Stock
Ainos Inc. Warrants
Arteris Inc. Common Stock
AAR Corp. Common Stock
Airgain Inc. Common Stock
Air T Inc. Common Stock
Meta Data Limited ADS
Assurant Inc. Common Stock
Great Ajax Corp. Common Stock
Akanda Corp. Common Shares
Akili Inc. Common Stock
Embotelladora Andina S.A.
Embotelladora Andina S.A.
Akari Therapeutics plc ADS
Akumin Inc. Common Stock (DE)
Akouos Inc. Common Stock
Alcon Inc. Ordinary Shares
Alico Inc. Common Stock
Allete Inc.
Alector Inc. Common Stock
Alamo Group Inc. Common Stock
Alkermes plc Ordinary Shares
Allegion plc Ordinary Shares
Allego N.V. Ordinary Share
Allakos Inc. Common Stock
Allot Ltd. Ordinary Shares
AstroNova Inc. Common Stock
AlerisLife Inc. Common Stock
Altimmune Inc. Common Stock
Autoliv Inc. Common Stock
Alvotech Ordinary Shares
Alvotech Warrant
AlloVir Inc. Common Stock
Alexander's Inc. Common Stock
Amcor plc Ordinary Shares
AMETEK Inc.
Amedisys Inc Common Stock
Amgen Inc. Common Stock
Amplitech Group Inc. Warrants
Amarin Corporation plc
Amyris Inc. Common Stock
AMERISAFE Inc. Common Stock
Amesite Inc. Common Stock
Amazon.com Inc. Common Stock
AutoNation Inc. Common Stock
AnaptysBio Inc. Common Stock
Anghami Inc. Ordinary Shares
Anghami Inc. Warrants
ANI Pharmaceuticals Inc.
Annexon Inc. Common Stock
ANSYS Inc. Common Stock
Annovis Bio Inc. Common Stock
Sphere 3D Corp. Common Shares
Artivion Inc. Common Stock
APA Corporation Common Stock
Apexigen Inc. Common Stock
Apexigen Inc. Warrant
AppHarvest Inc. Common Stock
AppHarvest Inc. Warrants
Aptiv PLC Ordinary Shares
Aptinyx Inc. Common Stock
APx Acquisition Corp. I Unit
Aqua Metals Inc. Common Stock
Aravive Inc. Common Stock
Arbe Robotics Ltd. Warrant
Aequi Acquisition Corp. Unit
Ardelyx Inc. Common Stock
Argus Capital Corp. Unit
Argus Capital Corp. Warrant
Arisz Acquisition Corp. Right
ARKO Corp. Common Stock
ARKO Corp. Warrant
Aramark Common Stock
Archrock Inc. Common Stock
Arqit Quantum Inc. Warrants
ARMOUR Residential REIT Inc.
Arrival Ordinary Shares
Arvinas Inc. Common Stock
Sendas Distribuidora S A ADS
Astrea Acquisition Corp. Unit
Ashland Inc. Common Stock
AdvanSix Inc. Common Stock 
ABRI SPAC I INC. Common Stock
ABRI SPAC I INC. Warrant
Aspen Group Inc. Common Stock
AST SpaceMobile Inc. Warrant
Atlas Corp. Common Shares
Atlas Corp. 7.95% Series D
Atlas Corp. 7.875% Series H
Aterian Inc. Common Stock
Anterix Inc. Common Stock
Athersys Inc. Common Stock
ATI Inc. Common Stock
Atkore Inc. Common Stock
Athenex Inc. Common Stock
AptarGroup Inc. Common Stock
AtriCure Inc. Common Stock
Atento S.A. Ordinary Shares
Audacy Common Stock
AudioCodes Ltd. Common Stock
Augmedix Inc. Common Stock
authID Inc. Common Stock
Aurora Acquisition Corp. Unit
Auddia Inc. Common Stock
Auddia Inc. Warrants
Applied UV Inc. Common Stock
Broadcom Inc. Common Stock
Avinger Inc. Common Stock
AvePoint Inc. Warrant
AVROBIO Inc. Common Stock
Avnet Inc. Common Stock
Avantor Inc. Common Stock
Aware Inc. Common Stock
Axogen Inc. Common Stock
Axonics Inc. Common Stock
AXT Inc Common Stock
Acuity Brands Inc. 
AYRO Inc. Common Stock
AutoZone Inc. Common Stock
Azenta Inc.
AZZ Inc.
Braskem SA ADR
Ball Corporation Common Stock
Credicorp Ltd. Common Stock
Couchbase Inc. Common Stock
BigBear.ai Inc. Common Stock
Banco BBVA Argentina S.A. ADS
Barings BDC Inc. Common Stock
Bone Biologics Corp Warrants
Bath & Body Works Inc.
BioAtla Inc. Common Stock
BioCardia Inc. Common Stock
BioCardia Inc. Warrant
BCE Inc. Common Stock
BayCom Corp Common Stock
Blucora Inc. Common Stock
Brightcove Inc. Common Stock
Barclays PLC Common Stock
Bancroft Fund Ltd.
Belden Inc Common Stock
Biodesix Inc. Common Stock
Heartbeam Inc. Common Stock
Heartbeam Inc. Warrant
Beam Global Common Stock
Beam Global Warrant
Brown Forman Corporation
Brown Forman Corporation
Biofrontera Inc. Common Stock
Biofrontera Inc. Warrants
Bunge Limited Bunge Limited
Birks Group Inc. Common Stock
Berkshire Grey Inc. Warrant
BGSF Inc. Common Stock
Benson Hill Inc. Common Stock
Biohaven Ltd. Common Shares 
Baidu Inc. ADS
Big Lots Inc. Common Stock
Biogen Inc. Common Stock
Bio-Rad Laboratories Inc.
Biocept Inc. Common Stock
Biolase Inc. Common Stock
Bitfarms Ltd. Common Stock
BankUnited Inc. Common Stock
BlackLine Inc. Common Stock
TopBuild Corp. Common Stock
bleuacacia ltd Rights
bleuacacia ltd Warrants
BlackRock Inc. Common Stock
Blackbaud Inc. Common Stock
Blink Charging Co. Warrant
Bank Of Montreal Common Stock
Biomerica Inc. Common Stock
Bionano Genomics Inc. Warrant
DMC Global Inc. Common Stock
Box Inc. Class A Common Stock
Boxed Inc. Common Stock
BP p.l.c. Common Stock
Popular Inc. Common Stock
BRC Inc. Class A Common Stock
BRF S.A.
Berkshire Hathaway Inc.
Berkshire Hathaway Inc.
Bruush Oral Care Inc. Warrant
Banco Santander - Chile ADS
Sierra Bancorp Common Stock
Bank7 Corp. Common stock
BT Brands Inc. Common Stock
BT Brands Inc. Warrant
BIT Mining Limited ADS
BTCS Inc. Common Stock
Biotricity Inc. Common Stock
Biote Corp. Warrant
BorgWarner Inc. Common Stock
Broadwind Inc. Common Stock
Blackstone Inc. Common Stock
Baudax Bio Inc. Common Stock
Beyond Meat Inc. Common Stock
BuzzFeed Inc. Warrant
Citigroup Inc. Common Stock
Cable One Inc. Common Stock
Cadence Bank Common Stock
Cadence Bank 5.50% Series A 
CAE Inc. Ordinary Shares
Caleres Inc. Common Stock
Calix Inc Common Stock
CalAmp Corp. Common Stock
Camtek Ltd. Ordinary Shares
Can B Corp.
Cars.com Inc. Common Stock 
Caterpillar Inc. Common Stock
Chubb Limited  Common Stock
Chain Bridge I Units
Chain Bridge I Warrants
CBIZ Inc. Common Stock
Crown Holdings Inc.
Comcast Holdings ZONES
Cardlytics Inc. Common Stock
CareDx Inc. Common Stock
CDW Corporation Common Stock
Codexis Inc. Common Stock
CADIZ Inc. Common Stock
Cadiz Inc. Depositary Shares
CEA Industries Inc. Warrant
Celcuity Inc. Common Stock
Celularity Inc. Warrant
CENAQ Energy Corp. Unit
CENAQ Energy Corp. Warrant
Crestwood Equity Partners LP
Certara Inc. Common Stock
Cemtrex Inc. Common Stock
CEVA Inc. Common Stock
CF Acquisition Corp. IV Unit
Conformis Inc. Common Stock
Compugen Ltd. Ordinary Shares
Chemed Corp
Check-Cap Ltd. Ordinary Share
Chegg Inc. Common Stock
Chico's FAS Inc. Common Stock
Chunghwa Telecom Co. Ltd.
BanColombia S.A. Common Stock
Cipher Mining Inc. Warrant
Cingulate Inc. Common Stock
Cingulate Inc. Warrants
Cartica Acquisition Corp Unit
CKX Lands Inc. Common Stock
Cellebrite DI Ltd. Warrants
Celldex Therapeutics Inc.
Clearfield Inc. Common Stock
Clene Inc. Common Stock
Clene Inc. Warrant
ClimateRock Right
ClimateRock Unit
Clarim Acquisition Corp. Unit
Celestica Inc. Common Stock
CleanSpark Inc. Common Stock
Clarivate Plc Ordinary Shares
Calyxt Inc. Common Stock
CareMax Inc. Warrant
Cummins Inc. Common Stock
CompoSecure Inc. Warrant
Chimerix Inc. Common Stock
Centogene N.V. Common Shares
Cohen & Company Inc.
Coherent Corp. Common Stock
Cohu Inc. Common Stock
Colicity Inc. Units
Colicity Inc. Warrant
Conn's Inc. Common Stock
CONX Corp. Unit
CONX Corp. Warrant
Traeger Inc. Common Stock
ConocoPhillips Common Stock
Core Scientific Inc. Warrant
Coursera Inc. Common Stock
COVA Acquisition Corp. Unit
Copart Inc. (DE) Common Stock
Cepton Inc. Common Stock
Cepton Inc. Warrant
Crawford & Company
Crawford & Company
Carter's Inc. Common Stock
Curis Inc. Common Stock
Salesforce Inc. Common Stock
CorMedix Inc. Common Stock
Cerence Inc. Common Stock
