source-Symbol,target-Symbol
AAON,AAON
AAP,AAP
AAPL,AAPL
ABB,ABB
ABBV,ABBV
ABCB,ABCB
ABMD,ABMD
ACA,ACA
ACCD,ACCD
ACDCW,ACDCW
ACEL,ACEL
ACET,ACET
ACIU,ACIU
ACLX,ACLX
ACM,ACM
ACNB,ACNB
ACON,ACON
ACONW,ACONW
ADBE,ADBE
ADEA,ADEA
ADNT,ADNT
ADOCR,ADOCR
ADSEW,ADSEW
ADSK,ADSK
ADT,ADT
ADTX,ADTX
AEG,AEG
AEI,AEI
AEYE,AEYE
AFAQU,AFAQU
AFAQW,AFAQW
AFCG,AFCG
AFMD,AFMD
AFRIW,AFRIW
AGCO,AGCO
AGEN,AGEN
AGGRU,AGGRU
AGGRW,AGGRW
AGR,AGR
AGRO,AGRO
AGS,AGS
AGTI,AGTI
AGX,AGX
AHG,AHG
AIMD,AIMD
AIMDW,AIMDW
AIP,AIP
AIR,AIR
AIRG,AIRG
AIRT,AIRT
AIU,AIU
AIZ,AIZ
AJX,AJX
AKAN,AKAN
AKLI,AKLI
AKO/A,AKO/A
AKO/B,AKO/B
AKTX,AKTX
AKU,AKU
AKUS,AKUS
ALC,ALC
ALCO,ALCO
ALE,ALE
ALEC,ALEC
ALG,ALG
ALKS,ALKS
ALLE,ALLE
ALLG,ALLG
ALLK,ALLK
ALLT,ALLT
ALOT,ALOT
ALR,ALR
ALT,ALT
ALV,ALV
ALVO,ALVO
ALVOW,ALVOW
ALVR,ALVR
ALX,ALX
AMCR,AMCR
AME,AME
AMED,AMED
AMGN,AMGN
AMPGW,AMPGW
AMRN,AMRN
AMRS,AMRS
AMSF,AMSF
AMST,AMST
AMZN,AMZN
AN,AN
ANAB,ANAB
ANGH,ANGH
ANGHW,ANGHW
ANIP,ANIP
ANNX,ANNX
ANSS,ANSS
ANVS,ANVS
ANY,ANY
AORT,AORT
APA,APA
APGN,APGN
APGNW,APGNW
APPH,APPH
APPHW,APPHW
APTV,APTV
APTX,APTX
APXIU,APXIU
AQMS,AQMS
ARAV,ARAV
ARBEW,ARBEW
ARBGU,ARBGU
ARDX,ARDX
ARGUU,ARGUU
ARGUW,ARGUW
ARIZR,ARIZR
ARKO,ARKO
ARKOW,ARKOW
ARMK,ARMK
AROC,AROC
ARQQW,ARQQW
ARR,ARR
ARVL,ARVL
ARVN,ARVN
ASAI,ASAI
ASAXU,ASAXU
ASH,ASH
ASIX,ASIX
ASPA,ASPA
ASPAW,ASPAW
ASPU,ASPU
ASTSW,ASTSW
ATCO,ATCO
ATCO^D,ATCO^D
ATCO^H,ATCO^H
ATER,ATER
