Symbol,Company
AAON,AAON Inc. Common Stock
AAP,Advance Auto Parts Inc.
AAPL,Apple Inc. Common Stock
ABB,ABB Ltd Common Stock
ABBV,AbbVie Inc. Common Stock
ABCB,Ameris Bancorp Common Stock
ABMD,ABIOMED Inc. Common Stock
ACA,Arcosa Inc. Common Stock 
ACCD,Accolade Inc. Common Stock
ACDCW,ProFrac Holding Corp. Warrant
ACEL,Accel Entertainment Inc. 
ACET,Adicet Bio Inc. Common Stock 
ACIU,AC Immune SA Common Stock
ACLX,Arcellx Inc. Common Stock
ACM,AECOM Common Stock
ACNB,ACNB Corporation Common Stock
ACON,Aclarion Inc. Common Stock
ACONW,Aclarion Inc. Warrant
ADBE,Adobe Inc. Common Stock
ADEA,Adeia Inc. Common Stock
ADNT,Adient plc Ordinary Shares 
ADOCR,Edoc Acquisition Corp. Right
ADSEW,ADS-TEC ENERGY PLC Warrant
ADSK,Autodesk Inc. Common Stock
ADT,ADT Inc. Common Stock
ADTX,Aditxt Inc. Common Stock
AEG,AEGON N.V. Common Stock
AEI,Alset Inc. Common Stock (TX)
AEYE,AudioEye Inc. Common Stock
AFAQU,AF Acquisition Corp. Units
AFAQW,AF Acquisition Corp. Warrants
AFCG,AFC Gamma Inc. Common Stock
AFMD,Affimed N.V.
AFRIW,Forafric Global PLC Warrants
AGCO,AGCO Corporation Common Stock
AGEN,Agenus Inc. Common Stock
AGGRU,Agile Growth Corp. Units
AGGRW,Agile Growth Corp. Warrant.
AGR,Avangrid Inc. Common Stock
AGRO,Adecoagro S.A. Common Shares
AGS,PlayAGS Inc. Common Stock
AGTI,Agiliti Inc. Common Stock
AGX,Argan Inc. Common Stock
AHG,Akso Health Group ADS
AIMD,Ainos Inc. Common Stock
AIMDW,Ainos Inc. Warrants
AIP,Arteris Inc. Common Stock
AIR,AAR Corp. Common Stock
AIRG,Airgain Inc. Common Stock
AIRT,Air T Inc. Common Stock
AIU,Meta Data Limited ADS
AIZ,Assurant Inc. Common Stock
AJX,Great Ajax Corp. Common Stock
AKAN,Akanda Corp. Common Shares
AKLI,Akili Inc. Common Stock
AKO/A,Embotelladora Andina S.A.
AKO/B,Embotelladora Andina S.A.
AKTX,Akari Therapeutics plc ADS
AKU,Akumin Inc. Common Stock (DE)
AKUS,Akouos Inc. Common Stock
ALC,Alcon Inc. Ordinary Shares
ALCO,Alico Inc. Common Stock
ALE,Allete Inc.
ALEC,Alector Inc. Common Stock
ALG,Alamo Group Inc. Common Stock
ALKS,Alkermes plc Ordinary Shares
ALLE,Allegion plc Ordinary Shares
ALLG,Allego N.V. Ordinary Share
ALLK,Allakos Inc. Common Stock
ALLT,Allot Ltd. Ordinary Shares
ALOT,AstroNova Inc. Common Stock
ALR,AlerisLife Inc. Common Stock
ALT,Altimmune Inc. Common Stock
ALV,Autoliv Inc. Common Stock
ALVO,Alvotech Ordinary Shares
ALVOW,Alvotech Warrant
ALVR,AlloVir Inc. Common Stock
ALX,Alexander's Inc. Common Stock
AMCR,Amcor plc Ordinary Shares
AME,AMETEK Inc.
AMED,Amedisys Inc Common Stock
AMGN,Amgen Inc. Common Stock
AMPGW,Amplitech Group Inc. Warrants
AMRN,Amarin Corporation plc
AMRS,Amyris Inc. Common Stock
AMSF,AMERISAFE Inc. Common Stock
AMST,Amesite Inc. Common Stock
AMZN,Amazon.com Inc. Common Stock
AN,AutoNation Inc. Common Stock
ANAB,AnaptysBio Inc. Common Stock
ANGH,Anghami Inc. Ordinary Shares
ANGHW,Anghami Inc. Warrants
ANIP,ANI Pharmaceuticals Inc.
ANNX,Annexon Inc. Common Stock
ANSS,ANSYS Inc. Common Stock
