file_name,Input Rows,avg_len_input,avg_len_output,Matched pairs,Total Patterns,Golden Coverage,Golden Best tran Coverage,Coverage,Best tran Coverage,Runtime,Effective Generalizations,Generalization Time,Row_Match_P,Row_Match_R,Row_Match_F1,all_generated_placeholder_comb,all_removed_placeholder_comb,all_remaining_placeholder_comb,init_remaining_placeholder_comb,splitted_remaining_placeholder_comb,placeholder_gen_time,extract_pat_time,duplicate_pat_remove_time,pat_applying_time,get_covering_set_time,Num placeholder comb,Num All Patterns,Num duplicate patterns removed,Num patterns to try,cnt_all_patterns_all_rows,cnt_patterns_successful,cnt_patterns_failed,cnt_patterns_hit_cache
park to state 2,27,9.74074074074074,7.962962962962963,27,2,1.0,0.8148148148148148,1.0,0.8148148148148148,0.013401031494140625,0,0.0,1.0,1.0,1.0,108,0,108,54,54,0.005305051803588867,0.0015702247619628906,0.0005056858062744141,0.0059261322021484375,9.393692016601562e-05,59,414,129,285,7695,637,7058,5309
us cities,31,14.258064516129032,9.0,31,7,1.0,0.6774193548387096,1.0,0.6774193548387096,0.0247499942779541,0,0.0,1.0,1.0,1.0,132,6,126,66,60,0.0063860416412353516,0.0025801658630371094,0.0004398822784423828,0.014947891235351562,0.0003960132598876953,70,679,166,513,15903,696,15207,10788
christmas songs 2,53,39.64150943396226,24.11320754716981,53,19,1.0,0.20754716981132076,1.0,0.20754716981132076,0.6093077659606934,0,1.1920928955078125e-06,1.0,1.0,1.0,369,66,303,190,113,0.0311129093170166,0.06352591514587402,0.027540922164916992,0.47080397605895996,0.01632404327392578,206,17651,9016,8635,457655,9058,448597,327052
vegetables,67,19.880597014925375,10.044776119402986,67,2,1.0,0.6716417910447762,1.0,0.6716417910447762,0.14253592491149902,0,0.0,1.0,1.0,1.0,270,0,270,135,135,0.019540786743164062,0.007811069488525391,0.0010619163513183594,0.11366128921508789,0.0004608631134033203,129,2417,424,1993,133531,3090,130441,100087
new york govs 1,55,31.181818181818183,14.909090909090908,55,14,1.0,0.38181818181818183,1.0,0.38181818181818183,0.8616557121276855,0,9.5367431640625e-07,1.0,1.0,1.0,332,52,280,166,114,0.018931865692138672,0.05372905731201172,0.00641179084777832,0.7627651691436768,0.019817829132080078,212,15601,1947,13654,750970,15720,735250,598232
texas govs 1,25,22.96,15.72,25,11,1.0,0.48,1.0,0.48,0.5216166973114014,0,0.0,1.0,1.0,1.0,204,45,159,102,57,0.008646726608276367,0.04755711555480957,0.015526056289672852,0.4337880611419678,0.016098737716674805,117,19621,4517,15104,377600,15988,361612,316239
us presidents 1,43,58.18604651162791,15.372093023255815,43,3,1.0,0.9534883720930233,1.0,0.9534883720930233,1.1106922626495361,0,7.152557373046875e-07,1.0,1.0,1.0,192,22,170,96,74,0.011507034301757812,0.05050206184387207,0.02341485023498535,1.020362138748169,0.004906177520751953,124,21483,6151,15332,659276,26043,633233,325535
sharif username to email,673,18.59881129271917,7.5988112927191676,673,1,1.0,1.0,1.0,1.0,2.742558002471924,0,9.5367431640625e-07,1.0,1.0,1.0,2692,0,2692,1346,1346,2.298403024673462,0.04945707321166992,0.008828878402709961,0.3855760097503662,0.0002930164337158203,1346,6784,5969,815,548495,6111,542384,0
us presidents 6,44,30.75,15.386363636363637,44,6,1.0,0.5,1.0,0.5,0.4644899368286133,0,0.0,1.0,1.0,1.0,202,20,182,101,81,0.010355949401855469,0.02129507064819336,0.0025010108947753906,0.4256141185760498,0.004723787307739258,127,8490,745,7745,340780,9970,330810,209687
park to state 1,57,46.824561403508774,7.7368421052631575,57,2,1.0,0.9649122807017544,1.0,0.9649122807017544,0.09577393531799316,0,0.0,1.0,1.0,1.0,228,0,228,114,114,0.007860898971557617,0.007818937301635742,0.0023119449615478516,0.07735824584960938,0.0004239082336425781,57,2716,852,1864,106248,4595,101653,88232
duke cs profs,44,15.159090909090908,14.863636363636363,44,4,1.0,0.6136363636363636,1.0,0.6136363636363636,2.6520230770111084,0,0.0,1.0,1.0,1.0,770,106,664,416,248,0.12613821029663086,0.2352147102355957,0.16141533851623535,2.1131227016448975,0.016132116317749023,528,88382,47758,40624,1787456,45257,1742199,1525568
california govs 1,24,23.041666666666668,15.583333333333334,24,8,1.0,0.3333333333333333,1.0,0.3333333333333333,0.9533178806304932,0,9.5367431640625e-07,1.0,1.0,1.0,274,73,201,138,63,0.013750076293945312,0.0788118839263916,0.028005123138427734,0.8115320205688477,0.02121877670288086,160,34627,7957,26670,640080,30730,609350,517024
beatles songs,280,23.00357142857143,16.57857142857143,280,18,1.0,0.925,1.0,0.925,4.610140085220337,0,0.0,1.0,1.0,1.0,1385,248,1137,711,426,0.33544492721557617,0.14451932907104492,0.1034097671508789,3.9976820945739746,0.029083967208862305,780,49006,33386,15620,4373600,27778,4345822,3531045
fruits 1,21,9.523809523809524,7.857142857142857,21,3,1.0,0.9047619047619048,1.0,0.9047619047619048,0.011810064315795898,0,0.0,1.0,1.0,1.0,96,0,96,48,48,0.003257274627685547,0.0013439655303955078,0.0005650520324707031,0.0065157413482666016,0.00012803077697753906,43,555,183,372,7812,482,7330,5792
fruits 2,21,17.19047619047619,7.809523809523809,21,3,1.0,0.9047619047619048,1.0,0.9047619047619048,0.17027711868286133,0,0.0,1.0,1.0,1.0,112,0,112,56,56,0.00391077995300293,0.024728059768676758,0.027177095413208008,0.11270284652709961,0.0017583370208740234,56,14175,7700,6475,135975,6772,129203,118394
christmas songs 1,38,40.421052631578945,22.605263157894736,38,11,1.0,0.2631578947368421,1.0,0.2631578947368421,0.2042067050933838,0,0.0,1.0,1.0,1.0,230,38,192,118,74,0.015325784683227539,0.023629188537597656,0.008379936218261719,0.15230774879455566,0.004564046859741211,129,6887,2709,4178,158764,4786,153978,115390
uk prime ministers,74,27.41891891891892,16.0,74,13,1.0,0.4189189189189189,1.0,0.4189189189189189,4.7726640701293945,0,0.0,1.0,1.0,1.0,566,112,454,283,171,0.03412508964538574,0.48250913619995117,0.46921586990356445,3.725604772567749,0.06120920181274414,236,181397,133208,48189,3565986,65243,3500743,3136447
new york govs 4,58,40.810344827586206,30.25862068965517,58,58,1.0,0.017241379310344827,1.0,0.017241379310344827,7.394819021224976,0,0.0,1.0,1.0,1.0,1913,326,1587,1065,522,0.8999831676483154,0.7786297798156738,0.2648482322692871,4.878241777420044,0.5731160640716553,1103,179353,84269,95084,5514872,95084,5419788,5373014
new york govs 3,25,32.24,23.48,25,4,1.0,0.68,1.0,0.68,1.6700971126556396,0,0.0,1.0,1.0,1.0,572,141,431,332,99,0.10786700248718262,0.3523859977722168,0.3104090690612793,0.8896818161010742,0.009753227233886719,359,119388,96158,23230,580750,29705,551045,415997
fsu name to username,111,12.621621621621621,6.054054054054054,111,8,1.0,0.8648648648648649,1.0,0.8648648648648649,4.329629898071289,0,0.0,1.0,1.0,1.0,1136,0,1136,568,568,0.23697996139526367,0.22568869590759277,0.18902921676635742,3.6524531841278076,0.025478839874267578,568,88171,59404,28767,3193137,51886,3141251,2672055
texas govs 2,25,22.96,17.08,25,18,1.0,0.24,1.0,0.24,0.6500978469848633,0,0.0,1.0,1.0,1.0,302,69,233,157,76,0.017920970916748047,0.053208112716674805,0.019949674606323242,0.5261223316192627,0.03289675712585449,174,24047,5881,18166,454150,18586,435564,387193
us presidents 3,44,30.75,15.477272727272727,44,4,1.0,0.5454545454545454,1.0,0.5454545454545454,0.23487496376037598,0,9.5367431640625e-07,1.0,1.0,1.0,228,52,176,114,62,0.010416984558105469,0.023274898529052734,0.002020120620727539,0.19697093963623047,0.0021920204162597656,117,4735,525,4210,185240,5477,179763,127444
us presidents 4,43,58.18604651162791,16.232558139534884,43,1,1.0,1.0,1.0,1.0,0.03665304183959961,0,1.1920928955078125e-06,1.0,1.0,1.0,172,43,129,86,43,0.007727861404418945,0.006284236907958984,0.001071929931640625,0.021493196487426758,7.581710815429688e-05,86,872,464,408,17544,1146,16398,0
chinese provinces,25,17.52,6.72,25,1,1.0,1.0,1.0,1.0,0.007797956466674805,0,0.0,1.0,1.0,1.0,100,0,100,50,50,0.004373073577880859,0.0012478828430175781,0.000270843505859375,0.0018820762634277344,2.4080276489257812e-05,50,255,172,83,2075,280,1795,0
us presidents 5,43,16.232558139534884,15.372093023255815,43,3,1.0,0.9534883720930233,1.0,0.9534883720930233,0.09303712844848633,0,0.0,1.0,1.0,1.0,188,21,167,94,73,0.009093046188354492,0.007318973541259766,0.0011811256408691406,0.07488298416137695,0.0005609989166259766,122,1926,400,1526,65618,2441,63177,36847
new york govs 2,59,56.74576271186441,30.0,59,59,1.0,0.01694915254237288,1.0,0.01694915254237288,13.372334241867065,0,0.0,1.0,1.0,1.0,2329,346,1983,1368,615,1.4865972995758057,1.7877099514007568,0.7691249847412109,8.387073755264282,0.9418282508850098,1418,407051,248326,158725,9364775,158725,9206050,9154326
california govs 2,37,55.16216216216216,15.35135135135135,37,21,1.0,0.3783783783783784,1.0,0.3783783783783784,3.314479112625122,0,0.0,1.0,1.0,1.0,438,60,378,233,145,0.04223299026489258,0.5413639545440674,0.3727569580078125,2.2388312816619873,0.1192939281463623,278,174038,115860,58178,2152586,61762,2090824,1931364
sharif email to url,673,31.59881129271917,18.59881129271917,673,1,1.0,1.0,1.0,1.0,18.372277975082397,0,0.0,1.0,1.0,1.0,5384,0,5384,2692,2692,3.0529937744140625,0.4435582160949707,0.2907090187072754,14.572139978408813,0.01287698745727539,2692,111855,93077,18778,12637594,1153985,11483609,8724666
k12 name to email,38,25.68421052631579,12.473684210526315,38,30,1.0,0.13157894736842105,1.0,0.13157894736842105,2.000613212585449,0,1.1920928955078125e-06,1.0,1.0,1.0,756,0,756,378,378,0.0895380973815918,0.2709360122680664,0.18561291694641113,1.3388631343841553,0.11566305160522461,378,97470,58481,38989,1481582,39479,1442103,1426612
new york govs 5,54,56.94444444444444,41.2037037037037,54,54,1.0,0.018518518518518517,1.0,0.018518518518518517,8.311513185501099,0,9.5367431640625e-07,1.0,1.0,1.0,1598,413,1185,813,372,0.4692721366882324,0.790524959564209,0.37862086296081543,6.011662244796753,0.6614329814910889,822,243953,117003,126950,6855300,126950,6728350,6686469
