file_name,Input Rows,avg_len_input,avg_len_output,Matched pairs,Total Patterns,Golden Coverage,Golden Best tran Coverage,Coverage,Best tran Coverage,Runtime,Effective Generalizations,Generalization Time,Row_Match_P,Row_Match_R,Row_Match_F1,all_generated_placeholder_comb,all_removed_placeholder_comb,all_remaining_placeholder_comb,init_remaining_placeholder_comb,splitted_remaining_placeholder_comb,placeholder_gen_time,extract_pat_time,duplicate_pat_remove_time,pat_applying_time,get_covering_set_time,Num placeholder comb,Num All Patterns,Num duplicate patterns removed,Num patterns to try,cnt_all_patterns_all_rows,cnt_patterns_successful,cnt_patterns_failed,cnt_patterns_hit_cache
currency code,152,0,0,0,0,0.0,0.0,NA,0,9.989738464355469e-05,0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.910064697265625e-05,7.867813110351562e-06,4.029273986816406e-05,7.867813110351562e-06,4.76837158203125e-06,0,0,0,0,0,0,0,0
us cities,31,14.784615384615385,10.307692307692308,65,20,1.0,0.6774193548387096,1.0,0.3384615384615385,0.3911430835723877,0,0.0,0.5344827586206896,1.0,0.6966292134831461,623,29,594,315,279,0.052709102630615234,0.05692005157470703,0.014117956161499023,0.2537248134613037,0.013671159744262695,291,10428,4313,6115,397475,7534,389941,367031
new york govs 1,55,31.084745762711865,14.76271186440678,59,13,1.0,0.38181818181818183,1.0,0.4067796610169492,1.1072568893432617,0,9.5367431640625e-07,0.9322033898305084,1.0,0.9649122807017544,356,55,301,178,123,0.02216506004333496,0.06461071968078613,0.00661015510559082,0.9952859878540039,0.0185849666595459,212,15452,1872,13580,801220,17106,784114,637953
california govs 1,24,23.08,15.68,25,10,1.0,0.3333333333333333,1.0,0.32,1.2410759925842285,0,0.0,0.96,1.0,0.9795918367346939,296,78,218,150,68,0.015730857849121094,0.09463715553283691,0.029669761657714844,1.0685949325561523,0.03244328498840332,173,35696,8408,27288,682200,31348,650852,550981
texas govs 1,25,22.96,15.72,25,11,0.92,0.48,1.0,0.48,0.42778515815734863,0,1.1920928955078125e-06,0.92,0.92,0.92,224,39,185,112,73,0.011281967163085938,0.05536007881164551,0.014271974563598633,0.33275318145751953,0.014117956161499023,127,18282,4393,13889,347225,14653,332572,293119
stock market,1364,25.076923076923077,4.215811965811966,468,24,0.0,0.0,1.0,0.45085470085470086,5.5263166427612305,0,1.1920928955078125e-06,0.0,0.0,0.0,2204,0,2204,1102,1102,0.5069308280944824,0.08752202987670898,0.03210616111755371,4.773340702056885,0.12641692161560059,780,22876,13160,9716,4547088,259058,4288030,3328718
us presidents 1,43,58.18604651162791,15.372093023255815,43,3,1.0,0.9534883720930233,1.0,0.9534883720930233,1.1147279739379883,0,9.5367431640625e-07,1.0,1.0,1.0,192,22,170,96,74,0.01092982292175293,0.06617426872253418,0.019640684127807617,1.0131709575653076,0.0048122406005859375,124,21483,6151,15332,659276,26043,633233,325504
us presidents 6,44,30.75,15.386363636363637,44,6,1.0,0.5,1.0,0.5,0.49840617179870605,0,1.1920928955078125e-06,1.0,1.0,1.0,202,20,182,101,81,0.009438276290893555,0.03829503059387207,0.002614736557006836,0.4432942867279053,0.00476384162902832,127,8490,745,7745,340780,9970,330810,209622
park to state 1,57,47.34920634920635,7.936507936507937,63,9,0.9473684210526315,0.9473684210526315,1.0,0.7777777777777778,1.247527837753296,0,7.152557373046875e-07,0.7777777777777778,0.8596491228070176,0.8166666666666668,422,0,422,211,211,0.019662857055664062,0.2158651351928711,0.17175602912902832,0.8226568698883057,0.017586946487426758,129,71361,52885,18476,1163988,27286,1136702,1107645
beatles songs,280,22.19277108433735,16.99397590361446,332,62,0.9857142857142858,0.925,1.0,0.7831325301204819,9.20444107055664,0,1.1920928955078125e-06,0.8706624605678234,0.9857142857142858,0.9246231155778896,2448,294,2154,1269,885,0.8397870063781738,0.31137609481811523,0.17573308944702148,7.694035768508911,0.18350911140441895,1330,84770,57262,27508,9132656,41272,9091384,8100155
fruits 1,21,12.11320754716981,8.528301886792454,53,16,1.0,0.9047619047619048,1.0,0.39622641509433965,0.3170619010925293,0,1.1920928955078125e-06,0.4883720930232558,1.0,0.65625,476,0,476,238,238,0.028267860412597656,0.045371055603027344,0.014774084091186523,0.21696686744689941,0.01168203353881836,183,9983,4767,5216,276448,8643,267805,247898
christmas songs 2,53,39.45283018867924,28.037735849056602,106,57,0.9056603773584906,0.20754716981132076,1.0,0.11320754716981132,14.711578130722046,0,1.1920928955078125e-06,0.4095238095238095,0.7818181818181819,0.5375,3257,261,2996,1781,1215,3.079285144805908,1.4181396961212158,0.9692473411560059,8.689628839492798,0.5552771091461182,1852,407550,310723,96827,10263662,99519,10164143,9791157
vegetables,67,19.985294117647058,11.161764705882353,68,11,1.0,0.6716417910447762,1.0,0.5294117647058824,0.4915289878845215,0,1.1920928955078125e-06,0.8529411764705882,0.8656716417910447,0.8592592592592593,452,15,437,229,208,0.03125190734863281,0.04529690742492676,0.0288541316986084,0.3767209053039551,0.009405136108398438,224,17266,9479,7787,529516,10035,519481,481900
duke cs profs,44,14.714285714285714,14.73015873015873,63,34,1.0,0.6136363636363636,1.0,0.31746031746031744,3.497622013092041,0,9.5367431640625e-07,0.5238095238095238,0.75,0.6168224299065421,1176,112,1064,616,448,0.30307984352111816,0.25887322425842285,0.15572381019592285,2.6492440700531006,0.13070106506347656,720,81253,41508,39745,2503935,42008,2461927,2295617
new york govs 4,58,40.69090909090909,30.381818181818183,55,49,0.8275862068965517,0.017241379310344827,1.0,0.03636363636363636,6.499691724777222,0,0.0,0.8727272727272727,0.8275862068965517,0.8495575221238938,1987,286,1701,1137,564,1.0998778343200684,0.8168487548828125,0.25812411308288574,3.9051389694213867,0.41970205307006836,1175,173039,86861,86178,4739790,87275,4652515,4600945
new york govs 2,59,56.71186440677966,30.084745762711865,59,52,0.8813559322033898,0.01694915254237288,1.0,0.03389830508474576,14.775004148483276,0,0.0,0.864406779661017,0.864406779661017,0.864406779661017,2592,335,2257,1530,727,1.9299068450927734,2.0740699768066406,0.9860742092132568,8.895318031311035,0.8896350860595703,1573,484057,311405,172652,10186468,173533,10012935,9945401
new york govs 3,25,31.28846153846154,23.73076923076923,52,16,1.0,0.68,1.0,0.3269230769230769,4.509177207946777,0,0.0,0.5208333333333334,1.0,0.684931506849315,1535,182,1353,872,481,0.6482040882110596,0.6802890300750732,0.4785161018371582,2.630157947540283,0.07201004028320312,819,189663,145499,44164,2296528,58812,2237716,2050570
fruits 2,21,18.15625,8.90625,32,10,1.0,0.9047619047619048,1.0,0.59375,0.4093790054321289,0,0.0,0.75,1.0,0.8571428571428571,296,0,296,148,148,0.01491689682006836,0.05043911933898926,0.044898033142089844,0.2879149913787842,0.011209964752197266,138,25521,13586,11935,381920,12729,369191,346947
new york govs 5,54,56.94444444444444,41.2037037037037,54,54,1.0,0.018518518518518517,1.0,0.018518518518518517,8.147332191467285,0,0.0,1.0,1.0,1.0,1598,413,1185,813,372,0.4555850028991699,0.7198300361633301,0.397205114364624,5.865681886672974,0.7090301513671875,822,243953,117003,126950,6855300,126950,6728350,6686942
sharif username to email,673,18.341645885286784,7.801745635910224,802,63,1.0,1.0,1.0,0.8329177057356608,51.710164070129395,0,0.0,0.8329177057356608,0.9910979228486647,0.9051490514905148,4276,0,4276,2138,2138,2.5855209827423096,0.3691718578338623,0.18552327156066895,48.012972831726074,0.5569751262664795,1992,112442,61544,50898,40820196,219950,40600246,32991709
park to state 2,27,10.484848484848484,8.515151515151516,33,6,0.8148148148148148,0.8148148148148148,1.0,0.6666666666666666,0.09081220626831055,0,9.5367431640625e-07,0.6666666666666666,0.7857142857142857,0.721311475409836,230,0,230,115,115,0.009741067886352539,0.02750992774963379,0.004313230514526367,0.047780752182006836,0.0014672279357910156,108,3300,1342,1958,64614,3670,60944,56149
texas govs 2,25,22.96,16.8,25,17,0.96,0.24,1.0,0.24,0.6746678352355957,0,9.5367431640625e-07,0.96,0.96,0.96,294,66,228,152,76,0.01783585548400879,0.07932305335998535,0.021152973175048828,0.5256991386413574,0.030656814575195312,169,23703,5771,17932,448300,18352,429948,382983
california govs 2,37,54.58974358974359,15.487179487179487,39,22,1.0,0.3783783783783784,1.0,0.358974358974359,4.308223009109497,0,0.0,0.9487179487179487,1.0,0.9736842105263158,539,63,476,293,183,0.06990480422973633,0.7887051105499268,0.5802011489868164,2.7060298919677734,0.16338205337524414,339,229374,161161,68213,2660307,71917,2588390,2424962
us presidents 3,44,30.88888888888889,15.555555555555555,45,5,1.0,0.5454545454545454,1.0,0.5333333333333333,0.26289987564086914,0,0.0,0.9777777777777777,1.0,0.9887640449438202,256,53,203,128,75,0.012995004653930664,0.019496917724609375,0.0029439926147460938,0.22475123405456543,0.002712726593017578,130,5311,772,4539,204255,5839,198416,144751
us presidents 4,43,58.18604651162791,16.232558139534884,43,1,1.0,1.0,1.0,1.0,0.03911781311035156,0,1.1920928955078125e-06,1.0,1.0,1.0,172,43,129,86,43,0.008648872375488281,0.006921052932739258,0.001132965087890625,0.02233290672302246,8.20159912109375e-05,86,872,464,408,17544,1146,16398,0
chinese provinces,25,17.892857142857142,6.857142857142857,28,3,1.0,1.0,1.0,0.8928571428571429,0.10310792922973633,0,0.0,0.8928571428571429,1.0,0.9433962264150945,162,0,162,81,81,0.006996870040893555,0.022510051727294922,0.023859024047851562,0.04879903793334961,0.0009429454803466797,79,10106,7299,2807,78596,3172,75424,71296
us presidents 5,43,16.232558139534884,15.372093023255815,43,3,1.0,0.9534883720930233,1.0,0.9534883720930233,0.1023101806640625,0,0.0,1.0,1.0,1.0,188,21,167,94,73,0.009515047073364258,0.006777048110961914,0.0012547969818115234,0.08416914939880371,0.0005941390991210938,122,1926,400,1526,65618,2441,63177,36920
airports,199,0,0,0,0,0.0,0.0,NA,0,4.7206878662109375e-05,0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.245208740234375e-06,2.6226043701171875e-06,2.6226043701171875e-05,9.059906005859375e-06,4.0531158447265625e-06,0,0,0,0,0,0,0,0
us presidents 2,44,58.18181818181818,31.863636363636363,44,44,1.0,0.022727272727272728,1.0,0.022727272727272728,11.87012505531311,0,0.0,1.0,1.0,1.0,1654,120,1534,973,561,0.9401640892028809,2.1184792518615723,1.249311923980713,6.723803997039795,0.8383657932281494,1007,522606,354023,168583,7417652,168583,7249069,7224552
christmas songs 1,38,38.03703703703704,25.362962962962964,135,57,1.0,0.2631578947368421,1.0,0.08148148148148149,48.653127908706665,0,0.0,0.3333333333333333,0.868421052631579,0.48175182481751827,5649,278,5371,3051,2320,8.316728115081787,4.929170846939087,4.611093997955322,29.337805032730103,1.4583299160003662,3060,1553639,1319441,234198,31616730,251040,31365690,30835210
uk prime ministers,74,27.789473684210527,16.13157894736842,76,14,0.972972972972973,0.4189189189189189,1.0,0.40789473684210525,4.61567497253418,0,0.0,0.9342105263157895,0.9594594594594594,0.9466666666666667,556,107,449,278,171,0.03226590156555176,0.482882022857666,0.4972701072692871,3.5360119342803955,0.0672450065612793,232,178250,132546,45704,3473504,61812,3411692,3060019
fsu name to username,111,12.53191489361702,6.304964539007092,141,24,1.0,0.8648648648648649,1.0,0.5460992907801419,5.124041318893433,0,0.0,0.6170212765957447,0.7837837837837838,0.6904761904761905,1204,0,1204,602,602,0.21941137313842773,0.25379085540771484,0.20696306228637695,4.36490797996521,0.07896804809570312,524,87319,58938,28381,4001721,46220,3955501,3488681
sharif email to url,673,31.37013801756587,18.819322459222082,797,69,1.0,1.0,1.0,0.8381430363864492,93.28659725189209,0,1.1920928955078125e-06,0.8381430363864492,0.9910979228486647,0.9082256968048946,7716,0,7716,3858,3858,5.4897260665893555,1.185486078262329,0.7367570400238037,83.9638319015503,1.9107961654663086,3494,314763,232131,82632,65857704,1676238,64181466,50042818
k12 name to email,38,25.65,12.55,40,30,1.0,0.13157894736842105,1.0,0.125,2.1133389472961426,0,0.0,0.95,1.0,0.9743589743589743,786,0,786,393,393,0.09966206550598145,0.27142882347106934,0.18729019165039062,1.4316999912261963,0.12325787544250488,380,97502,58511,38991,1559640,39763,1519877,1503873
date case 1,1000,14.396595208070618,11.0,3172,87,0.096,0.096,1.0,0.2972887767969735,1156.746339082718,0,0.0,0.096,0.096,0.096,35458,10253,25205,17826,7379,69.08767676353455,3.255486011505127,2.2741801738739014,1075.2662818431854,6.8627142906188965,12058,999301,722515,276786,877965192,2845266,875119926,815029482
